Method 	Date 	IoU 	Acc. 	IoU 	Acc. 	IoU 	Acc. 	IoU 	Acc. 	IoU 	Acc. 	IoU 	Acc.
Song Zichen 	27-September-18 	70.77 	97.11 	71.83 	97.36 	75.20 	97.07 	75.37 	91.83 	78.44 	98.10 	74.64 	96.29
Bodhiswatta-ICTLab 	28-September-18 	67.66 	96.66 	66.42 	96.61 	69.38 	96.33 	74.41 	91.52 	69.73 	97.28 	71.02 	95.68
Fuzail Palnak 	17-October-18 	64.73 	96.60 	63.27 	96.58 	72.66 	96.88 	67.81 	89.64 	72.92 	97.66 	68.20 	95.47
Maria Papadomanolaki 	18-October-18 	64.69 	96.47 	59.19 	96.20 	67.59 	96.18 	75.63 	91.83 	70.68 	97.30 	70.18 	95.60
Maria Papadomanolaki 	18-October-18 	64.88 	96.49 	53.22 	95.70 	66.30 	96.07 	73.85 	91.37 	68.67 	97.19 	68.16 	95.36
Zhang Bin 	22-October-18 	72.21 	97.26 	74.15 	97.55 	76.92 	97.29 	78.69 	93.00 	79.08 	98.14 	76.99 	96.65
Bodhiswatta Chatterjee 	27-November-18 	73.50 	97.29 	79.38 	98.02 	78.09 	97.35 	79.76 	93.14 	80.99 	98.29 	78.73 	96.82
Adrian Boguszewski 	29-November-18 	67.67 	96.11 	72.70 	97.07 	73.42 	96.50 	72.79 	89.80 	77.96 	97.88 	72.73 	95.47
Koki Takahashi (Waseda University) 	12-January-19 	74.15 	97.44 	75.55 	97.72 	78.62 	97.43 	80.65 	93.63 	80.80 	98.31 	78.80 	96.91
Bodhiswatta Chatterjee [10] ICTLab, Concordia Univ., Montreal 	06-February-19 	73.74 	97.35 	80.66 	98.15 	79.13 	97.52 	81.41 	93.89 	81.36 	98.35 	79.88 	97.05
Bodhiswatta Chatterjee [12] ICTLab, Concordia Univ., Montreal 	06-February-19 	74.63 	97.47 	80.80 	98.18 	79.50 	97.58 	81.85 	94.08 	81.71 	98.39 	80.32 	97.14
WenChao Kang [6]  	24 April 19 	71.03 	97.07 	62.13 	96.45 	75.45 	97.11 	74.54 	91.53 	77.31 	97.99 	72.95 	96.03
Fuzail Palnak Sinhgad [3]  	09 June 19 	73.48 	97.32 	74.16 	97.52 	78.29 	97.44 	77.48 	92.48 	80.42 	98.27 	76.98 	96.61
Jhansi, Pallavi, Zoheb fellowship.ai 	11 June 19 	66.07 	96.45 	67.26 	96.85 	68.89 	96.11 	72.08 	90.83 	71.52 	97.32 	70.01 	95.51
Aleksandar Milosavljevic University of Nis,Faculty of Electronic Engineering 	26 June 19 	73.90 	97.35 	72.97 	97.39 	77.31 	97.32 	76.46 	92.01 	80.41 	98.23 	76.27 	96.46
Yue Liao HiPAG 	15 July 2019 	71.60 	97.20 	70.28 	97.24 	74.77 	96.99 	76.94 	92.32 	77.56 	97.99 	75.10 	96.35
Yuting Zhu [19] Shantou University 	03 September 2019 	69.59 	96.97 	66.51 	96.82 	75.25 	97.07 	73.27 	91.10 	78.39 	98.08 	72.83 	96.01
Can Altinigne [34] EPFL 	06 September 2019 	71.25 	97.17 	71.86 	97.33 	75.81 	97.19 	76.99 	92.34 	78.52 	98.10 	75.55 	96.43
Yuting Zhu [25] Shantou University 	17 September 2019 	70.14 	96.91 	69.31 	97.06 	74.98 	96.99 	74.55 	91.52 	78.71 	98.09 	73.83 	96.12
Yuting Zhu [26] Shantou University 	18 September 2019 	71.16 	97.04 	68.37 	96.97 	75.32 	97.02 	75.52 	91.84 	79.01 	98.11 	74.39 	96.20
Yuting Zhu [28] Shantou University 	23 September 2019 	71.08 	97.05 	70.51 	97.11 	75.57 	97.06 	75.39 	91.66 	79.04 	98.12 	74.63 	96.20
Zhaohong Xu Jilin University 	21 October 2019 	69.33 	96.91 	64.03 	96.31 	75.41 	97.05 	71.32 	90.16 	77.83 	98.02 	71.48 	95.69
Yue Liao [11] Wuhan University 	25 November 2019 	71.74 	97.22 	70.55 	97.27 	75.44 	97.11 	77.26 	92.47 	78.54 	98.10 	75.52 	96.43
Zhaohong Xu [2] Jilin University 	11 January 2020 	70.58 	96.94 	72.60 	97.33 	76.42 	97.16 	75.74 	91.68 	79.42 	98.16 	75.17 	96.25
Bhupinder Singhanon 	13 January 2020 	70.72 	97.03 	69.70 	97.12 	74.98 	97.01 	74.39 	91.35 	78.40 	98.06 	73.87 	96.12
Ales Zhuk [8] BSU 	10 February 2020 	66.06 	96.53 	64.72 	96.62 	68.51 	96.21 	74.18 	91.36 	70.76 	97.33 	70.51 	95.61
chenjun [3] 	12 February 2020 	72.73 	97.33 	77.19 	97.87 	77.94 	97.44 	79.50 	93.20 	79.80 	98.24 	78.08 	96.82
Ulrich Kastlunger University of Innsbruck 	20 February 2020 	72.88 	97.35 	70.91 	97.28 	76.48 	97.21 	77.46 	92.66 	78.97 	98.14 	76.02 	96.53
Ales Zhuk [12] BSU 	26 March 2020 	69.32 	96.93 	74.30 	97.53 	73.65 	96.85 	76.48 	92.09 	75.96 	97.86 	74.71 	96.25
Bohao Huang [5] Duke University AMLL 	27 April 2020 	72.78 	97.32 	74.66 	97.62 	77.54 	97.36 	79.45 	93.31 	80.44 	98.29 	77.73 	96.78
Nicolas Girard [2] Inria Unet-ResNet101 + Frame field learning 	22 June 2020 	69.75 	96.77 	72.04 	97.13 	74.64 	96.83 	74.55 	91.14 	77.40 	97.92 	73.91 	95.96
Yue Liao [20] Wuhan University 	25 July 2020 	72.25 	97.25 	72.49 	97.41 	75.21 	97.07 	77.70 	92.54 	78.06 	98.04 	75.94 	96.46
Yuting Zhu [60] Shantou University 	24 August 2020 	73.12 	97.22 	75.58 	97.64 	77.66 	97.31 	79.81 	93.26 	80.61 	98.25 	78.08 	96.73
Eugene Khvedchenya [19] ods.ai 	03 September 2020 	74.61 	97.44 	81.52 	98.25 	80.20 	97.66 	82.81 	94.43 	82.63 	98.47 	81.06 	97.25
Alireza Abedin The University of Adelaide 	21 October 2020 	64.75 	96.46 	63.60 	96.49 	70.56 	96.45 	69.61 	89.30 	71.32 	97.43 	68.55 	95.23
Heng-Qing Huang [10] GuangXi University 	22 September 2020 	73.46 	97.33 	79.69 	98.06 	78.81 	97.48 	80.47 	93.51 	81.11 	98.34 	79.22 	96.94
Mateusz Gomulski 	23 September 2020 	71.39 	97.11 	71.83 	97.34 	74.89 	96.99 	74.98 	91.72 	77.85 	98.01 	74.42 	96.23
Alireza Abedin [4] The University of Adelaide 	27 October 2020 	72.05 	97.22 	73.86 	97.51 	76.27 	97.19 	77.45 	92.58 	78.46 	98.09 	76.18 	96.52
Guanzhou Chen, CVEO Team [2] Wuhan University 	04 December 2020 	70.27 	96.94 	68.89 	97.04 	72.15 	96.71 	75.79 	91.88 	76.30 	97.89 	73.62 	96.09
Shang Xiaoheng Beihang University 	17 January 2021 	63.40 	96.00 	57.34 	95.77 	63.98 	94.97 	66.73 	88.36 	67.42 	96.65 	64.72 	94.35
Cheng Liao [33] SWJTU 	31 January 2021 	71.43 	97.19 	78.49 	97.98 	78.10 	97.42 	80.48 	93.69 	81.09 	98.34 	78.67 	96.92
Dengyupeng [~60] Ucas-aircas 	25 February 2021 	74.09 	97.43 	79.22 	98.03 	78.89 	97.53 	81.56 	94.03 	81.02 	98.34 	79.73 	97.07
Dengyupeng [~60] Ucas-aircas 	26 February 2021 	73.89 	97.43 	80.67 	98.17 	79.20 	97.56 	81.72 	94.07 	81.68 	98.40 	80.10 	97.13
Cheng Liao [36] SWJTU 	05 March 2021 	71.96 	97.21 	79.52 	98.09 	78.43 	97.50 	81.11 	93.88 	80.28 	98.27 	79.11 	96.99
Yang Liu CDNU 	12 March 2021 	71.61 	97.05 	75.27 	97.56 	74.82 	96.92 	76.65 	91.86 	78.61 	98.06 	75.73 	96.29
HuQianCUG 	17 May 2021 	62.90 	96.19 	62.23 	96.42 	68.12 	96.20 	75.48 	91.69 	70.37 	97.32 	70.27 	95.56
Advanced Institute [8] 	02 August 2021 	75.34 	97.58 	82.67 	98.40 	80.83 	97.77 	83.80 	94.77 	82.95 	98.51 	81.91 	97.41
Lei Ding [14] University of Trento 	06 November 2021 	73.85 	97.41 	73.22 	97.48 	79.49 	97.61 	80.09 	93.51 	79.26 	98.14 	78.15 	96.83
